"","Season","clade","vaccine","tot_weight"
"1",2010,"3C","A/Perth/16/2009",1.2568
"2",2010,"3C.2a3","A/Perth/16/2009",2.1127
"3",2011,"3C","A/Perth/16/2009",0
"4",2011,"3C.2","A/Perth/16/2009",0
"5",2011,"3C.3","A/Perth/16/2009",0
"6",2012,"3C","A/Victoria/361/2011",0.0897
"7",2012,"3C.2","A/Victoria/361/2011",0.1358
"8",2012,"3C.3","A/Victoria/361/2011",0.1358
"9",2013,"3C","A/Texas/50/2012",0.2738
"10",2013,"3C.2","A/Texas/50/2012",0.2738
"11",2013,"3C.2a","A/Texas/50/2012",0.2738
"12",2013,"3C.3","A/Texas/50/2012",0.2738
"13",2013,"3C.3a","A/Texas/50/2012",0.2738
"14",2013,"3C.3b","A/Texas/50/2012",0.5542
"15",2014,"3C","A/Texas/50/2012",0
"16",2014,"3C.2","A/Texas/50/2012",0
"17",2014,"3C.2a","A/Texas/50/2012",0.1396
"18",2014,"3C.2a2","A/Texas/50/2012",0.9312
"19",2014,"3C.2a3","A/Texas/50/2012",0.1396
"20",2014,"3C.3","A/Texas/50/2012",0
"21",2014,"3C.3a","A/Texas/50/2012",0.1316
"22",2014,"3C.3b","A/Texas/50/2012",1.7603
"23",2015,"3C","A/Switzerland/9715293/2013",0
"24",2015,"3C.2","A/Switzerland/9715293/2013",0
"25",2015,"3C.2a","A/Switzerland/9715293/2013",0
"26",2015,"3C.2a1","A/Switzerland/9715293/2013",0
"27",2015,"3C.3","A/Switzerland/9715293/2013",0
"28",2015,"3C.3a","A/Switzerland/9715293/2013",0.0595
"29",2016,"3C.2a","A/HongKong/4801/2014",0
"30",2016,"3C.2a1","A/HongKong/4801/2014",0
"31",2016,"3C.2a1b.1","A/HongKong/4801/2014",0.6479
"32",2016,"3C.2a2","A/HongKong/4801/2014",1.0077
"33",2016,"3C.2a3","A/HongKong/4801/2014",0
"34",2016,"3C.2a4","A/HongKong/4801/2014",0.1593
"35",2016,"3C.3a","A/HongKong/4801/2014",0.0522
"36",2016,"3C.3a1","A/HongKong/4801/2014",1.4971
"37",2017,"3C.2a","A/HongKong/4801/2014",0.1046
"38",2017,"3C.2a1","A/HongKong/4801/2014",0.1253
"39",2017,"3C.2a1b.1","A/HongKong/4801/2014",0.7944
"40",2017,"3C.2a1b.2","A/HongKong/4801/2014",0.5766
"41",2017,"3C.2a1b.2b","A/HongKong/4801/2014",0.7921
"42",2017,"3C.2a2","A/HongKong/4801/2014",1.0945
"43",2017,"3C.2a3","A/HongKong/4801/2014",0.1253
"44",2017,"3C.2a4","A/HongKong/4801/2014",0.8176
"45",2017,"3C.3a","A/HongKong/4801/2014",0.2241
"46",2017,"3C.3a1","A/HongKong/4801/2014",2.1448
"47",2017,"3C.3b","A/HongKong/4801/2014",1.9889
"48",2018,"3C.2","A/Singapore/Infimh-16-0019/2016",0.1343
"49",2018,"3C.2a","A/Singapore/Infimh-16-0019/2016",0.1343
"50",2018,"3C.2a1","A/Singapore/Infimh-16-0019/2016",0.1343
"51",2018,"3C.2a1b.1","A/Singapore/Infimh-16-0019/2016",0.8095
"52",2018,"3C.2a1b.1b","A/Singapore/Infimh-16-0019/2016",2.1729
"53",2018,"3C.2a1b.2","A/Singapore/Infimh-16-0019/2016",0.7592
"54",2018,"3C.2a1b.2a","A/Singapore/Infimh-16-0019/2016",0.7592
"55",2018,"3C.2a1b.2b","A/Singapore/Infimh-16-0019/2016",1.0337
"56",2018,"3C.2a2","A/Singapore/Infimh-16-0019/2016",0.9811
"57",2018,"3C.2a3","A/Singapore/Infimh-16-0019/2016",0.1343
"58",2018,"3C.3a","A/Singapore/Infimh-16-0019/2016",0.2124
"59",2018,"3C.3a1","A/Singapore/Infimh-16-0019/2016",2.0784
"60",2019,"3C.2a1b.1","A/Kansas/14/2017",1.0836
"61",2019,"3C.2a1b.1a","A/Kansas/14/2017",2.609
"62",2019,"3C.2a1b.1b","A/Kansas/14/2017",2.6829
"63",2019,"3C.2a1b.2","A/Kansas/14/2017",1.1769
"64",2019,"3C.2a1b.2a","A/Kansas/14/2017",2.3538
"65",2019,"3C.2a1b.2b","A/Kansas/14/2017",1.5009
"66",2019,"3C.3a1","A/Kansas/14/2017",2.2072
